REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"Region1","S1D1B1","IND_CHEM_BIO_001",1,2022,164.018773902661
"Region1","S1D1B1","IND_CHEM_BIO_001",1,2023,194.584361806181
"Region1","S1D1B1","IND_CHEM_BIO_001",1,2024,204.916158025803
"Region1","S1D1B1","IND_CHEM_BIO_001",1,2025,215.796539033903
"Region1","S1D1B1","IND_CHEM_BIO_001",1,2028,30.7128388687455
"Region1","S1D1B1","IND_CHEM_BIO_001",1,2029,265.410167926793
"Region1","S1D1B1","IND_CHEM_BIO_001",1,2030,279.502583948395
"Region1","S1D1B1","IND_CHEM_BIO_001",1,2033,788.972173313996
"Region1","S1D1B1","IND_CHEM_BIO_001",1,2035,830.8640275562
"Region1","S1D1B1","IND_CHEM_COA_001",1,2018,237.781656447424
"Region1","S1D1B1","IND_CHEM_COA_001",1,2019,253.001569656966
"Region1","S1D1B1","IND_CHEM_COA_001",1,2020,253.001569656966
"Region1","S1D1B1","IND_CHEM_COA_001",1,2021,266.435129472948
"Region1","S1D1B1","IND_CHEM_COA_001",1,2023,342.749894222738
"Region1","S1D1B1","IND_CHEM_COA_001",1,2024,386.746878694841
"Region1","S1D1B1","IND_CHEM_COA_001",1,2025,491.5365609961
"Region1","S1D1B1","IND_CHEM_COA_001",1,2026,566.50116448859
"Region1","S1D1B1","IND_CHEM_COA_001",1,2029,855.241834231749
"Region1","S1D1B1","IND_CHEM_COA_001",1,2035,527.892203983166
"Region1","S1D1B1","IND_CHEM_DSL_001",1,2018,55.6420110411041
"Region1","S1D1B1","IND_CHEM_DSL_001",1,2019,87.8946310681068
"Region1","S1D1B1","IND_CHEM_DSL_001",1,2020,92.561549879988
"Region1","S1D1B1","IND_CHEM_DSL_001",1,2022,92.561549879988
"Region1","S1D1B1","IND_CHEM_DSL_001",1,2023,92.5615498799874
"Region1","S1D1B1","IND_CHEM_DSL_001",1,2024,94.3285069732754
"Region1","S1D1B1","IND_CHEM_DSL_001",1,2025,101.680493129834
"Region1","S1D1B1","IND_CHEM_DSL_001",1,2026,126.252573792379
"Region1","S1D1B1","IND_CHEM_DSL_001",1,2029,47.9985681158376
"Region1","S1D1B1","IND_CHEM_DSL_001",1,2033,362.700478847885
"Region1","S1D1B1","IND_CHEM_DSL_001",1,2034,381.958693669367
"Region1","S1D1B1","IND_CHEM_DSL_001",1,2035,972.200225525744
"Region1","S1D1B1","IND_CHEM_ELC_001",1,2018,100.265696177654
"Region1","S1D1B1","IND_CHEM_ELC_001",1,2019,100.265696177654
"Region1","S1D1B1","IND_CHEM_ELC_001",1,2020,100.265696177654
"Region1","S1D1B1","IND_CHEM_ELC_001",1,2021,103.370759231576
"Region1","S1D1B1","IND_CHEM_ELC_001",1,2022,128.004216247399
"Region1","S1D1B1","IND_CHEM_ELC_001",1,2023,128.22476087835
"Region1","S1D1B1","IND_CHEM_ELC_001",1,2024,129.408909178506
"Region1","S1D1B1","IND_CHEM_ELC_001",1,2025,129.408909178506
"Region1","S1D1B1","IND_CHEM_ELC_001",1,2026,129.408909178506
"Region1","S1D1B1","IND_CHEM_ELC_001",1,2027,165.792784982031
"Region1","S1D1B1","IND_CHEM_ELC_001",1,2030,323.454133513351
"Region1","S1D1B1","IND_CHEM_ELC_001",1,2031,323.454133513351
"Region1","S1D1B1","IND_CHEM_ELC_001",1,2032,340.628495049505
"Region1","S1D1B1","IND_CHEM_ELC_001",1,2035,961.51670630892
"Region1","S1D1B1","IND_CHEM_NGS_001",1,2018,222.56804410441
"Region1","S1D1B1","IND_CHEM_NGS_001",1,2019,270.053700155143
"Region1","S1D1B1","IND_CHEM_NGS_001",1,2020,295.986838161676
"Region1","S1D1B1","IND_CHEM_NGS_001",1,2021,233.760715729733
"Region1","S1D1B1","IND_CHEM_NGS_001",1,2022,297.139362017965
"Region1","S1D1B1","IND_CHEM_NGS_001",1,2023,330.195740244242
"Region1","S1D1B1","IND_CHEM_NGS_001",1,2024,331.249515591381
"Region1","S1D1B1","IND_CHEM_NGS_001",1,2025,370.842930974478
"Region1","S1D1B1","IND_CHEM_NGS_001",1,2027,489.593072365695
"Region1","S1D1B1","IND_CHEM_NGS_001",1,2028,703.624383692487
"Region1","S1D1B1","IND_CHEM_NGS_001",1,2029,734.708339295833
"Region1","S1D1B1","IND_CHEM_NGS_001",1,2030,1095.89976288907
"Region1","S1D1B1","IND_CHEM_NGS_001",1,2032,1124.57466602813
"Region1","S1D1B1","IND_CHEM_NGS_001",1,2034,1600.86247222443
"Region1","S1D1B1","IND_CHEM_NGS_001",1,2035,2111.40980801106
"Region1","S1D1B1","IND_CMNT_COA_001",1,2018,474.960206250625
"Region1","S1D1B1","IND_CMNT_COA_001",1,2019,493.074637063706
"Region1","S1D1B1","IND_CMNT_COA_001",1,2020,511.879931293129
"Region1","S1D1B1","IND_CMNT_COA_001",1,2021,531.402437533753
"Region1","S1D1B1","IND_CMNT_COA_001",1,2022,551.669509520953
"Region1","S1D1B1","IND_CMNT_COA_001",1,2024,689.666549907193
"Region1","S1D1B1","IND_CMNT_COA_001",1,2025,689.666549907193
"Region1","S1D1B1","IND_CMNT_COA_001",1,2026,947.144928565749
"Region1","S1D1B1","IND_CMNT_COA_001",1,2027,947.144928565751
"Region1","S1D1B1","IND_CMNT_COA_001",1,2028,1133.65154885897
"Region1","S1D1B1","IND_CMNT_COA_001",1,2029,856.223554426139
"Region1","S1D1B1","IND_CMNT_COA_001",1,2030,1209.34855480753
"Region1","S1D1B1","IND_CMNT_COA_001",1,2031,1639.56719842954
"Region1","S1D1B1","IND_CMNT_COA_001",1,2032,1406.98507946637
"Region1","S1D1B1","IND_CMNT_COA_001",1,2033,1072.53060018442
"Region1","S1D1B1","IND_CMNT_DSL_001",1,2019,14.3102030974483
"Region1","S1D1B1","IND_CMNT_DSL_001",1,2020,14.3102030974478
"Region1","S1D1B1","IND_CMNT_DSL_001",1,2021,14.6328383288683
"Region1","S1D1B1","IND_CMNT_DSL_001",1,2022,14.6328383288683
"Region1","S1D1B1","IND_CMNT_DSL_001",1,2023,14.8755725772577
"Region1","S1D1B1","IND_CMNT_DSL_001",1,2024,29.2062896727823
"Region1","S1D1B1","IND_CMNT_DSL_001",1,2027,41.7605774715978
"Region1","S1D1B1","IND_CMNT_DSL_001",1,2028,41.7605774715978
"Region1","S1D1B1","IND_CMNT_ELC_001",1,2018,26.3435343184643
"Region1","S1D1B1","IND_CMNT_ELC_001",1,2019,27.3482461400359
"Region1","S1D1B1","IND_CMNT_ELC_001",1,2022,54.6115308597748
"Region1","S1D1B1","IND_CMNT_ELC_001",1,2024,18.3916879622915
"Region1","S1D1B1","IND_CMNT_ELC_001",1,2025,62.7682242596793
